title,link,description,date,author
"Google Removes ""App Permissions"" List from Play Store for New ""Data Safety"" Section",https://thehackernews.com/2022/07/google-removes-app-permissions-list.html,"Following the launch of a new ""Data safety"" section for the Android app on the Play Store, Google appears to be readying to remove the app permissions list from both the mobile app and the web.  The change was  highlighted  by Esper's Mishaal Rahman earlier this week.  The  Data safety  section, which Google began rolling out in late April 2022, is the company's answer to Apple's Privacy Nutrition Labels in iOS, allowing users to have a unified view of an app's data collection and processing practices.   To that end, third-party app developers are required to furnish the required details by July 20, 2022. With this deadline now approaching next week, the tech giant has moved to entirely remove the permissions section.  The decision also appears to be a hasty one, as a number of popular apps such as Facebook, Messenger, Instagram, WhatsApp, Amazon (including Amazon Prime Video), DuckDuckGo, Discord, and PhonePe are yet to populate their Data safety sections.","July 15, 2022",Ravie Lakshmanan
Hackers Targeting VoIP Servers By Exploiting Digium Phone Software,https://thehackernews.com/2022/07/hackers-targeting-voip-servers-by.html,"VoIP phones using Digium's software have been targeted to drop a web shell on their servers as part of an attack campaign designed to exfiltrate data by downloading and executing additional payloads.  ""The malware installs multilayer obfuscated PHP backdoors to the web server's file system, downloads new payloads for execution, and schedules recurring tasks to re-infect the host system,"" Palo Alto Networks Unit 42  said  in a Friday report.  The unusual activity is said to have commenced in mid-December 2021 and targets Asterisk, a widely used software implementation of a private branch exchange (PBX) that runs on the open-source Elastix Unified Communications Server.   Unit 42 said the intrusions share similarities with the  INJ3CTOR3 campaign  that Israeli cybersecurity firm Check Point disclosed in November 2020, alluding to the possibility that they could be a ""resurgence"" of the previous attacks.   Coinciding with the sudden surge is the public disclos","July 15, 2022",Ravie Lakshmanan
New Netwrix Auditor Bug Could Let Attackers Compromise Active Directory Domain,https://thehackernews.com/2022/07/new-netwrix-auditor-bug-could-let.html,"Researchers have disclosed details about a security vulnerability in the Netwrix Auditor application that, if successfully exploited, could lead to arbitrary code execution on affected devices.   ""Since this service is typically executed with extensive privileges in an Active Directory environment, the attacker would likely be able to compromise the Active Directory domain,"" Bishop Fox  said  in an advisory published this week.   Auditor  is an auditing and visibility platform that enables organizations to have a consolidated view of their IT environments, including Active Directory, Exchange, file servers, SharePoint, VMware, and other systems—all from a single console.  Netwrix, the company behind the software, claims more than 11,500 customers across over 100 countries, such as Airbus, Virgin, King's College Hospital, and Credissimo, among others.   The flaw, which impacts all supported versions prior to 10.5, has been described as an  insecure object deserialization","July 15, 2022",Ravie Lakshmanan
5 Key Things We Learned from CISOs of Smaller Enterprises Survey,https://thehackernews.com/2022/07/5-key-things-we-learned-from-cisos-of.html,"New survey reveals lack of staff, skills, and resources driving smaller teams to outsource security.  As business begins its return to normalcy (however ""normal"" may look), CISOs at small and medium-size enterprises (500 – 10,000 employees) were asked to share their  cybersecurity challenges and priorities , and their responses were compared the results with those of a similar survey from 2021.  Here are the 5 key things we learned from 200 responses:  1  —  Remote Work Has Accelerated the Use of EDR Technologies  In 2021, 52% of CISOs surveyed were relying on endpoint detection and response (EDR) tools. This year that number has leapt to 85%. In contrast, last year 45% were using network detection and response (NDR) tools, while this year just 6% employ NDR. Compared to 2021, double the number of CISOs and their organizations are seeing the value of extended detection and response (XDR) tools, which combine EDR with integrated network signals. This is likely due to the increase in re","July 15, 2022",The Hacker News
New Cache Side Channel Attack Can De-Anonymize Targeted Online Users,https://thehackernews.com/2022/07/new-cache-side-channel-attack-can-de.html,"A group of academics from the New Jersey Institute of Technology (NJIT) has warned of a novel technique that could be used to defeat  anonymity protections  and identify a unique website visitor.  ""An attacker who has complete or partial control over a website can learn whether a specific target (i.e., a unique individual) is browsing the website,"" the researchers  said . ""The attacker knows this target only through a public identifier, such as an email address or a Twitter handle.""  The cache-based targeted  de-anonymization attack  is a  cross-site leak  that involves the adversary leveraging a service such as Google Drive, Dropbox, or YouTube to privately share a resource (e.g., image, video, or a YouTube playlist) with the target, followed by embedding the shared resource into the attack website.  This can be achieved by, say, privately sharing the resource with the target using the victim's email address or the appropriate username associated with the serv","July 15, 2022",Ravie Lakshmanan
North Korean Hackers Targeting Small and Midsize Businesses with H0lyGh0st Ransomware,https://thehackernews.com/2022/07/north-korean-hackers-targeting-small.html,"An emerging threat cluster originating from North Korea has been linked to developing and using ransomware in cyberattacks targeting small businesses since September 2021.  The group, which calls itself H0lyGh0st after the ransomware payload of the same name, is being tracked by the Microsoft Threat Intelligence Center under the moniker DEV-0530, a designation assigned for unknown, emerging, or a developing group of threat activity.  Targeted entities primarily include small-to-midsize businesses such as manufacturing organizations, banks, schools, and event and meeting planning companies.  ""Along with their H0lyGh0st payload, DEV-0530 maintains an .onion site that the group uses to interact with their victims,"" the researchers  said  in a Thursday analysis.  ""The group's standard methodology is to encrypt all files on the target device and use the file extension .h0lyenc, send the victim a sample of the files as proof, and then demand payment in Bitcoin in exchange","July 15, 2022",Ravie Lakshmanan
Former CIA Engineer Convicted of Leaking 'Vault 7' Hacking Secrets to WikiLeaks,https://thehackernews.com/2022/07/former-cia-engineer-convicted-of.html,"Joshua Schulte, a former programmer with the U.S. Central Intelligence Agency (CIA), has been found guilty of leaking a trove of classified hacking tools and exploits dubbed  Vault 7  to WikiLeaks.  The 33-year-old engineer had been  charged  in June 2018 with unauthorized disclosure of classified information and theft of classified material. Schulte also  faces  a separate trial on charges related to possession of child pornographic photos and videos, for which he was arrested on August 24, 2017.   U.S. Attorney Damian Williams  said  in a statement that Schulte was convicted for ""one of the most brazen and damaging acts of espionage in American history,"" adding his actions had a ""devastating effect on our intelligence community by providing critical intelligence to those who wish to do us harm.""  WikiLeaks would go on to release the documents on March 7, 2017,  calling  it the ""largest ever publication of confidential documents on the agency."" This incl","July 14, 2022",Ravie Lakshmanan
State-Backed Hackers Targeting Journalists in Widespread Espionage Campaigns,https://thehackernews.com/2022/07/state-backed-hackers-targeting.html,"Nation-state hacking groups aligned with China, Iran, North Korea, and Turkey have been targeting journalists to conduct espionage and spread malware as part of a series of campaigns since early 2021.  ""Most commonly, phishing attacks targeting journalists are used for espionage or to gain key insights into the inner workings of another government, company, or other area of state-designated import,"" Proofpoint  said  in a report shared with The Hacker News.  The ultimate goal of the ""sustained"" intrusions, the enterprise security firm said, is to gain a competitive intelligence edge or spread disinformation and propaganda.   Proofpoint said it identified two Chinese hacking groups, TA412 (aka  Zirconium  or Judgment Panda) and  TA459 , targeting media personnel with malicious emails containing web beacons and weaponized documents respectively that were used to amass information about the recipients' network environments and drop  Chinoxy  malware.   In a simila","July 14, 2022",Ravie Lakshmanan
A Simple Formula for Getting Your IT Security Budget Approved,https://thehackernews.com/2022/07/a-simple-formula-for-getting-your-it.html,"Although there is a greater awareness of cybersecurity threats than ever before, it is becoming increasingly difficult for IT departments to get their security budgets approved. Security budgets seem to shrink each year and IT pros are constantly being asked to do more with less. Even so, the situation may not be hopeless. There are some things that IT pros can do to improve the chances of getting their security budgets approved.   Presenting the Problem in a Compelling Way  If you want to get your proposed security budget approved, you will need to present security problems in a compelling way. While those who are in charge of the organization's finances are likely aware of the need for good security, they have probably also seen enough examples of ""a security solution in search of a problem"" to make them skeptical of security spending requests. If you want to persuade those who control the money, then you will need to convince them of three things:   You are trying to","July 14, 2022",The Hacker News
"Microsoft Details App Sandbox Escape Bug Impacting Apple iOS, iPadOS, macOS Devices",https://thehackernews.com/2022/07/microsoft-details-app-sandbox-escape.html,"Microsoft on Wednesday shed light on a now patched security vulnerability affecting Apple's operating systems that, if successfully exploited, could allow attackers to escalate device privileges and deploy malware.  ""An attacker could take advantage of this sandbox escape vulnerability to gain elevated privileges on the affected device or execute malicious commands like installing additional payloads,"" Jonathan Bar Or of the Microsoft 365 Defender Research Team  said  in a write-up.  Tracked as  CVE-2022-26706  (CVSS score: 5.5), the security vulnerability impacts iOS, iPadOS, macOS, tvOS, and watchOS and was fixed by Apple in May 2022.   Calling it an access issue affecting the LaunchServices (launchd) component, the iPhone maker noted that ""A sandboxed process may be able to circumvent sandbox restrictions,"" adding it mitigated the issue with additional restrictions.  While Apple's  App Sandbox  is designed to tightly regulate a third-party app's acce","July 14, 2022",Ravie Lakshmanan
Pakistani Hackers Targeting Indian Students in Latest Malware Campaign,https://thehackernews.com/2022/07/pakistani-hackers-targeting-indian.html,"The advanced persistent threat (APT) group known as Transparent Tribe  has been attributed to a new ongoing phishing campaign targeting students at various educational institutions in India at least since December 2021.  ""This new campaign also suggests that the APT is actively expanding its network of victims to include civilian users,"" Cisco Talos  said  in a report shared with The Hacker News.  Also tracked under the monikers APT36, Operation C-Major, PROJECTM, Mythic Leopard, the Transparent Tribe actor is  suspected  to be of Pakistani origin and is known to strike government entities and think tanks in India and Afghanistan with custom malware such as CrimsonRAT, ObliqueRAT, and CapraRAT.   But the targeting of educational institutions and students, first  observed  by India-based K7 Labs in May 2022, indicates a deviation from the adversary's typical focus.  ""The latest targeting of the educational sector may align with the strategic goals of espionage of the","July 14, 2022",Ravie Lakshmanan
New 'Retbleed' Speculative Execution Attack Affects AMD and Intel CPUs,https://thehackernews.com/2022/07/new-retbleed-speculative-execution.html,"Security researchers have uncovered yet another vulnerability affecting numerous older AMD and Intel microprocessors that could bypass current defenses and result in Spectre-based speculative-execution attacks.  Dubbed  Retbleed  by ETH Zurich researchers Johannes Wikner and Kaveh Razavi, the issue is tracked as CVE-2022-29900 (AMD) and CVE-2022-29901 (Intel), with the chipmakers  releasing   software   mitigations  as part of a coordinated disclosure process.  Retbleed is also the latest addition to a class of  Spectre attacks  known as Spectre-BTI (CVE-2017-5715 or Spectre-V2), which exploit the side effects of an optimization technique called  speculative execution  by means of a timing side channel to trick a program into accessing arbitrary locations in its memory space and leak private information.   Speculative execution attempts to fill the instruction pipeline of a program by predicting which instruction will be executed next in order to gain a performance boost, while also u","July 13, 2022",Ravie Lakshmanan
New UEFI Firmware Vulnerabilities Impact Several Lenovo Notebook Models,https://thehackernews.com/2022/07/new-uefi-firmware-vulnerabilities.html,"Consumer electronics maker Lenovo on Tuesday  rolled out fixes  to contain three security flaws in its UEFI firmware affecting over 70 product models.  ""The vulnerabilities can be exploited to achieve arbitrary code execution in the early phases of the platform boot, possibly allowing the attackers to hijack the OS execution flow and disable some important security features,"" Slovak cybersecurity firm ESET  said  in a series of tweets.   Tracked as CVE-2022-1890, CVE-2022-1891, and CVE-2022-1892, all three bugs relate to  buffer overflow vulnerabilities  that have been described by Lenovo as leading to privilege escalation on affected systems. Martin Smolár from ESET has been credited with reporting the flaws.   The bugs stem from an insufficient validation of an NVRAM variable called ""DataSize"" in three different drivers ReadyBootDxe, SystemLoadDefaultDxe, and SystemBootManagerDxe, resulting in a buffer overflow that could be weaponized to achieve code execution.","July 13, 2022",Ravie Lakshmanan
"Microsoft Warns of Large-Scale AiTM Phishing Attacks Against Over 10,000 Organizations",https://thehackernews.com/2022/07/microsoft-warns-of-large-scale-aitm.html,"Microsoft on Tuesday disclosed that a large-scale phishing campaign targeted over 10,000 organizations since September 2021 by hijacking Office 365's authentication process even on accounts secured with multi-factor authentication (MFA).  ""The attackers then used the stolen credentials and session cookies to access affected users' mailboxes and perform follow-on business email compromise (BEC) campaigns against other targets,"" the company's cybersecurity teams  reported .  The intrusions entailed setting up adversary-in-the-middle (AitM) phishing sites, wherein the attacker deploys a proxy server between a potential victim and the targeted website so that recipients of a phishing email are redirected to lookalike landing pages designed to capture credentials and MFA information.  ""The phishing page has two different Transport Layer Security (TLS) sessions — one with the target and another with the actual website the target wants to access,"" the company","July 13, 2022",Ravie Lakshmanan
5 Questions You Need to Ask About Your Firewall Security,https://thehackernews.com/2022/07/5-questions-you-need-to-ask-about-your.html,"Often, organizations think of firewall security as a one-and-done type of solution. They install firewalls, then assume that they are ""good to go"" without investigating whether or not these solutions are actually protecting their systems in the best way possible. ""Set it and forget it!""  Instead of just relying on firewalls and assuming that they will always protect their businesses from cyber risk, executives need to start asking deeper questions about them. As with most areas of business, it's important to take a critical look at each solution that your organization relies on for security. So, let's break down a few questions that you and your team should be asking about firewall security to get a more accurate view into your network defense posture.  1 — What does your team's firewall knowledge look like?   In order to properly service and upkeep firewalls, your team needs to have at least a baseline knowledge of how firewalls operate. It's espe","July 13, 2022",The Hacker News
Researchers Uncover New Variants of the ChromeLoader Browser Hijacking Malware,https://thehackernews.com/2022/07/researchers-uncover-new-variants-of.html,"Cybersecurity researchers have uncovered new variants of the  ChromeLoader  information-stealing malware, highlighting its evolving feature set in a short span of time.  Primarily used for hijacking victims' browser searches and presenting advertisements, ChromeLoader came to light in January 2022 and has been distributed in the form of ISO or DMG file downloads advertised via QR codes on Twitter and free gaming sites.  ChromeLoader has also been codenamed Choziosi Loader and ChromeBack by the broader cybersecurity community. What makes the adware notable is that it's fashioned as a browser extension as opposed to a Windows executable (.exe) or Dynamic Link Library (.dll).   The infections typically work by enticing unsuspecting users into downloading movie torrents or cracked video games through malvertising campaigns on pay-per-install sites and social media.  Besides requesting invasive permissions to access browser data and manipulate web requests, it's also designed t","July 13, 2022",Ravie Lakshmanan
Researchers Uncover New Attempts by Qakbot Malware to Evade Detection,https://thehackernews.com/2022/07/researchers-uncover-new-attempts-by.html,"The operators behind the Qakbot malware are transforming their delivery vectors in an attempt to sidestep detection.  ""Most recently, threat actors have transformed their techniques to evade detection by using ZIP file extensions, enticing file names with common formats, and Excel (XLM) 4.0 to trick victims into downloading malicious attachments that install Qakbot,"" Zscaler Threatlabz researchers Tarun Dewan and Aditya Sharma  said .   Other methods adopted by the group include code obfuscation, introducing new layers in the attack chain from initial compromise to execution, and using multiple URLs as well as unknown file extensions (e.g., .OCX, .ooccxx, .dat, or .gyp) to deliver the payload.  Also called QBot, QuackBot, or Pinkslipbot, Qakbot has been a  recurring threat  since late 2007, evolving from its initial days as a banking trojan to a modular information stealer capable of deploying next-stage payloads such as  ransomware .   ""Qakbot is a flexible post-exploi","July 12, 2022",Ravie Lakshmanan
